thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,1,0.41963509999914095,None,0,0,0,0,0,0.0059231000050203875,,0.0028922000055899844,0.0059231000050203875,1.0126053999993019,1.0163051999988966,1.5659510999976192,up,1,0.41963509999914095,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
1,0,1,up,1,0.5687615999922855,None,0,1,0,1,0,1.5682708000094863,,1.5662777000106871,1.5682708000094863,2.5655052000074647,2.581875600008061,3.1490755999984685,up,1,0.5687615999922855,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
2,0,2,up,1,0.5696161999949254,None,0,2,0,2,0,3.165071800001897,,3.1495064000046114,3.165071800001897,4.164477099999203,4.164477099999203,4.747952000005171,up,1,0.5696161999949254,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
3,0,3,up,0,0.38738000000012107,None,2,3,0,3,0,4.7640188000077615,,4.7483893000026,4.7640188000077615,5.763415900000837,5.763415900000837,6.1638557000114815,up,0,0.38738000000012107,None,2,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
4,0,4,down,1,0.48392410000087693,None,3,4,0,4,0,6.179788499997812,,6.164354200009257,6.179788499997812,7.17921080000815,7.17921080000815,7.679571600005147,down,1,0.48392410000087693,None,3,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
5,0,5,up,1,0.5690171000023838,None,0,5,0,5,0,7.695529400007217,,7.679966700001387,7.695529400007217,8.694791200003237,8.694791200003237,9.278313300004811,up,1,0.5690171000023838,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
6,0,6,up,1,0.508637799997814,None,0,6,0,6,0,9.29438590000791,,9.278701800009003,9.29438590000791,10.293834700001753,10.293834700001753,10.810817000005045,up,1,0.508637799997814,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
7,0,7,up,1,0.48797930000000633,None,0,7,0,7,0,10.826817000008305,,10.811275200001546,10.826817000008305,11.826198100010515,11.826198100010515,12.326506800003699,up,1,0.48797930000000633,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
8,0,8,up,0,0.5606925999891246,None,1,8,0,8,0,12.342477199999848,,12.32692720000341,12.342477199999848,13.341953000010108,13.341953000010108,13.908852900000056,up,0,0.5606925999891246,None,1,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
9,0,9,up,0,0.46829750000324566,None,-5,9,0,9,0,13.924777000007452,,13.909322100007557,13.924777000007452,14.924275299999863,14.924275299999863,15.407803200010676,up,0,0.46829750000324566,None,-5,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
10,0,10,down,1,0.40789780000341125,None,3,10,0,10,0,15.423892999999225,,15.40826010001183,15.423892999999225,16.42322989999957,16.42322989999957,16.84025570000813,down,1,0.40789780000341125,None,3,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
11,0,11,up,1,0.6927916999993613,None,0,11,0,11,0,16.85642430000007,,16.840690400000312,16.85642430000007,17.855771700007608,17.855771700007608,18.555949600005988,up,1,0.6927916999993613,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
12,0,12,up,1,0.5827299999946263,None,0,12,0,12,0,18.571875100009493,,18.55636990000494,18.571875100009493,19.57129610000993,19.57129610000993,20.15514410000469,up,1,0.5827299999946263,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
13,0,13,down,1,0.645662099996116,None,-3,13,0,13,0,20.17087580000225,,20.1556125000061,20.17087580000225,21.170226000002003,21.170226000002003,21.82034430000931,down,1,0.645662099996116,None,-3,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
14,0,14,up,0,0.5346903000026941,None,4,14,0,14,0,21.83642160000454,,21.820825100003276,21.83642160000454,22.8359277999989,22.8359277999989,23.386238200007938,up,0,0.5346903000026941,None,4,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
15,0,15,up,1,0.62119169998914,None,0,15,0,15,0,23.402225300000282,,23.386704900010955,23.402225300000282,24.40164180001011,24.40164180001011,25.035246500003268,up,1,0.62119169998914,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
16,0,16,down,0,0.5625092999980552,None,0,16,0,16,0,25.051227000003564,,25.035665200004587,25.051227000003564,26.05058690000442,26.05058690000442,26.617303400009405,down,0,0.5625092999980552,None,0,subject 1 ,"001",2025-09-05_16h18.05.291,Orientation discrimination trial run,,2025.2.0,60.00085201509375,2025-09-05 16h18.05.354429 +0530,
