12.5676 	INFO 	Loaded monitor calibration from ['2025_08_11 21:31']
12.8546 	INFO 	Using renderer 'Intel(R) UHD Graphics' for graphics
12.8546 	INFO 	OpenGL version supported by driver is 4..
13.0611 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CDB6E58340>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CDB6E585E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CDB6EE1480>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(460.0), np.float64(240.0)], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.0612 	EXP 	window1: backgroundImage = ''
13.0612 	EXP 	window1: backgroundFit = 'none'
13.4520 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.4520 	EXP 	window1: recordFrameIntervals = False
13.6375 	EXP 	window1: recordFrameIntervals = True
13.8208 	EXP 	Screen (0) actual frame rate measured at 60.13Hz
13.8208 	EXP 	window1: recordFrameIntervals = False
13.8742 	INFO 	keyboard.Keyboard is using ptb backend.
13.8743 	EXP 	Adaptive Staircase: status = STARTED
13.8819 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.9405 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0123 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0294 	EXP 	grating: ori = np.float64(10.0)
0.0294 	EXP 	fixation: autoDraw = True
0.5321 	INFO 	Keyboard events cleared
0.5320 	EXP 	grating: autoDraw = True
0.5320 	EXP 	grating: tex = 'sin'
0.5456 	EXP 	fixation: autoDraw = False
0.8464 	EXP 	grating: autoDraw = False
1.3391 	EXP 	Device response: <KeyPress from None: t=1.3300167999695987, value=right, duration=None>
1.3415 	DATA 	Keypress: right
1.3458 	EXP 	fixation: autoDraw = False
1.3458 	EXP 	grating: autoDraw = False
1.3458 	EXP 	grating: ori = np.float64(8.0)
1.3458 	EXP 	fixation: autoDraw = True
1.4801 	EXP 	Device response: <KeyPress from None: t=1.3300167999695987, value=right, duration=0.14554250007495284>
1.8453 	INFO 	Keyboard events cleared
1.8451 	EXP 	fixation: autoDraw = False
1.8451 	EXP 	grating: autoDraw = True
2.1456 	EXP 	grating: autoDraw = False
2.1626 	EXP 	Device response: <KeyPress from None: t=2.1481712999520823, value=right, duration=None>
2.1642 	DATA 	Keypress: right
2.1788 	EXP 	fixation: autoDraw = False
2.1788 	EXP 	grating: autoDraw = False
2.1788 	EXP 	grating: ori = np.float64(-6.0)
2.1788 	EXP 	fixation: autoDraw = True
2.3457 	EXP 	Device response: <KeyPress from None: t=2.1481712999520823, value=right, duration=0.18997110007330775>
2.6621 	INFO 	Keyboard events cleared
2.6619 	EXP 	grating: autoDraw = True
2.6784 	EXP 	fixation: autoDraw = False
2.9458 	EXP 	Device response: <KeyPress from None: t=2.944714199984446, value=right, duration=None>
2.9475 	DATA 	Keypress: right
2.9617 	EXP 	grating: autoDraw = False
2.9617 	EXP 	fixation: autoDraw = False
2.9617 	EXP 	grating: autoDraw = False
2.9617 	EXP 	grating: ori = np.float64(7.0)
2.9617 	EXP 	fixation: autoDraw = True
